name,sex,city,age,test,height,math,physics,english,success
wyx,Male,beijing,25,90,X,90,87,90,Yes
wer,Female,shanghai,36,70,Xxl,50,83,60,No
lisi,Female,daqing,35,80,Xl,80,65,65,No
zhangsan,Male,haerbin,45,60,Xxl,70,74,74,Yes
hjgj,Male,shenyang,85,40,Xl,100,85,85,No
sdsa,Male,beijing,25,97,Xl,60,127,89,Yes
kjm,Male,shenyang,54,95,X,74,80,100,Yes
dfs,Female,daqing,35,94,Xxl,79,76,65,Yes
lkj,Male,haerbin,42,83,Xl,85,89,89,Yes
tgb,Male,shenyang,54,60,Xxl,89,100,60,No
edc,Male,beijing,25,75,Xl,80,60,74,Yes
ert,Male,shanghai,85,77,Xl,70,74,85,No
wed,Female,daqing,35,85,X,100,85,89,No
nhy,Male,haerbin,45,70,Xxl,60,74,70,No
rgh,Male,beijing,25,95,Xxl,20,70,60,No
ftb,Female,shanghai,36,94,X,89,100,65,No
sdr,Female,daqing,35,83,Xxl,80,90,88,Yes
qfh,Male,haerbin,45,60,Xl,67,75,75,No
